1,1860,127.54,149.11,61.74,185.32,1,-1,-1,-1
1,1859,11.30,148.80,79.17,197.67,1,-1,-1,-1
2,1860,129.20,154.66,61.81,179.66,1,-1,-1,-1
2,1859,18.34,156.60,74.80,191.62,1,-1,-1,-1
3,1861,252.73,206.10,31.03,51.17,1,-1,-1,-1
3,1860,124.68,145.88,77.29,184.43,1,-1,-1,-1
3,1859,20.33,158.08,74.86,182.83,1,-1,-1,-1
4,1860,127.07,151.92,77.06,186.84,1,-1,-1,-1
4,1859,22.46,154.71,75.04,190.18,1,-1,-1,-1
5,1860,139.41,159.39,71.75,189.83,1,-1,-1,-1
5,1859,29.21,158.29,74.59,196.24,1,-1,-1,-1
6,1860,152.83,154.90,66.90,189.78,1,-1,-1,-1
6,1859,34.31,155.75,71.32,195.40,1,-1,-1,-1
7,1860,154.21,153.54,68.67,187.56,1,-1,-1,-1
7,1859,39.29,152.55,71.88,199.38,1,-1,-1,-1
8,1860,162.00,156.72,66.97,188.86,1,-1,-1,-1
8,1859,41.55,149.04,74.89,204.49,1,-1,-1,-1
9,1865,247.56,203.54,22.50,62.71,1,-1,-1,-1
9,1864,291.68,200.19,25.31,61.22,1,-1,-1,-1
9,1860,163.00,152.30,70.88,196.06,1,-1,-1,-1
9,1859,43.25,144.92,75.04,202.47,1,-1,-1,-1
10,1865,249.52,200.81,21.86,65.19,1,-1,-1,-1
10,1864,298.52,202.62,25.44,60.93,1,-1,-1,-1
10,1860,170.92,151.10,72.53,199.35,1,-1,-1,-1
10,1859,53.46,153.14,73.29,203.70,1,-1,-1,-1
11,1864,303.93,202.04,24.98,60.99,1,-1,-1,-1
11,1860,172.87,145.68,81.04,207.03,1,-1,-1,-1
11,1859,61.54,148.77,73.93,204.28,1,-1,-1,-1
12,1869,269.63,201.47,23.22,67.29,1,-1,-1,-1
12,1864,306.94,203.60,23.99,59.52,1,-1,-1,-1
12,1860,178.71,143.57,87.23,216.50,1,-1,-1,-1
12,1859,63.58,147.09,76.80,209.21,1,-1,-1,-1
13,1869,276.46,204.78,24.82,67.00,1,-1,-1,-1
13,1864,316.34,208.50,24.15,58.02,1,-1,-1,-1
13,1860,183.41,144.28,86.10,216.87,1,-1,-1,-1
13,1859,72.22,151.20,76.31,209.53,1,-1,-1,-1
14,1869,282.84,197.95,24.66,70.38,1,-1,-1,-1
14,1864,318.68,204.73,23.70,60.84,1,-1,-1,-1
14,1860,200.52,144.37,82.84,220.17,1,-1,-1,-1
14,1859,81.12,153.70,75.67,209.73,1,-1,-1,-1
15,1871,342.49,203.24,28.75,62.25,1,-1,-1,-1
15,1864,329.09,204.00,22.64,60.15,1,-1,-1,-1
15,1860,208.07,149.55,85.36,220.80,1,-1,-1,-1
15,1859,88.98,147.70,80.89,217.79,1,-1,-1,-1
16,1871,349.14,200.62,29.21,64.88,1,-1,-1,-1
16,1864,333.43,200.57,22.70,60.86,1,-1,-1,-1
16,1860,216.14,139.33,84.62,227.13,1,-1,-1,-1
16,1859,87.65,144.07,83.34,222.83,1,-1,-1,-1
17,1860,216.74,140.65,85.81,228.61,1,-1,-1,-1
17,1859,84.61,137.97,86.99,227.53,1,-1,-1,-1
18,1860,219.06,137.69,90.45,237.12,1,-1,-1,-1
18,1859,87.79,136.93,92.32,232.36,1,-1,-1,-1
19,1860,220.96,135.53,90.50,242.15,1,-1,-1,-1
19,1859,83.19,131.49,93.30,235.20,1,-1,-1,-1
20,1860,217.45,136.06,94.77,243.70,1,-1,-1,-1
20,1859,81.43,129.09,96.80,242.71,1,-1,-1,-1
21,1877,2.11,141.11,31.05,85.31,1,-1,-1,-1
21,1860,217.23,129.73,99.85,249.98,1,-1,-1,-1
21,1859,72.33,122.15,98.98,251.32,1,-1,-1,-1
22,1877,1.06,138.80,31.60,85.96,1,-1,-1,-1
22,1860,217.88,123.56,98.80,254.09,1,-1,-1,-1
22,1859,67.50,114.93,102.21,262.21,1,-1,-1,-1
23,1877,-0.87,148.94,32.91,98.01,1,-1,-1,-1
23,1860,220.37,120.38,104.97,264.34,1,-1,-1,-1
23,1859,66.81,116.41,105.91,268.90,1,-1,-1,-1
24,1860,220.27,116.11,109.43,268.76,1,-1,-1,-1
24,1859,62.80,118.85,108.09,267.74,1,-1,-1,-1
